No.,Name,SPE[au]
1,rotation_std1,-254.2808893
12,rotation_std2,-254.2806448
23,rotation_std3,-254.2799328
32,rotation_std4,-254.2788906
33,rotation_std5,-254.2777916
34,rotation_std6,-254.2769979
35,rotation_std7,-254.2768219
36,rotation_std8,-254.2773738
37,rotation_std9,-254.2784841
2,rotation_std10,-254.279772
3,rotation_std11,-254.2807952
4,rotation_std12,-254.2811878
5,rotation_std13,-254.2807285
6,rotation_std14,-254.2793754
7,rotation_std15,-254.277272
8,rotation_std16,-254.2747583
9,rotation_std17,-254.2723471
10,rotation_std18,-254.2706008
11,rotation_std19,-254.269957
13,rotation_std20,-254.2705821
14,rotation_std21,-254.272314
15,rotation_std22,-254.2747194
16,rotation_std23,-254.2772354
17,rotation_std24,-254.2793483
18,rotation_std25,-254.2807143
19,rotation_std26,-254.2811874
20,rotation_std27,-254.2808067
21,rotation_std28,-254.2797904
22,rotation_std29,-254.2785038
24,rotation_std30,-254.2773875
25,rotation_std31,-254.2768253
26,rotation_std32,-254.27699
27,rotation_std33,-254.2777765
28,rotation_std34,-254.2788736
29,rotation_std35,-254.2799191
30,rotation_std36,-254.2806373
31,rotation_std37,-254.2808899
